"","plot","subplot","species","climate","management","size_t0","size_t1","fl_spring_before","fl_spring_after","fl_fall","sl_spring_t0","sl_fall_t0","sl_spring_t1","transition","survival","fl_all","new_individual","year","kicker_col","treatment","spec_treat","ind_t0","flower_pr"
"2","1_1",1,"Bro_ere","ambient","mowing",12,12,5,5,NA,0,3,0,1,1,5,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",1,1
"3","1_1",1,"Bro_ere","ambient","mowing",2,42,3,3,NA,0,3,0,1,1,3,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",1,1
"4","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"5","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"6","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"7","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"8","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"9","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"10","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"11","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"12","1_1",1,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_1","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"41","1_1",2,"Bro_ere","ambient","mowing",10,2,2,2,NA,0,0,0,1,1,2,0,2018,"1_1_2","ambient_mowing","Bro_ere_ambient_mowing",1,1
"60","1_1",3,"Bro_ere","ambient","mowing",2,16,3,3,NA,0,4,0,1,1,3,0,2018,"1_1_3","ambient_mowing","Bro_ere_ambient_mowing",1,1
"61","1_1",3,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_3","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"69","1_1",4,"Bro_ere","ambient","mowing",12,16,4,4,NA,0,0,0,1,1,4,0,2018,"1_1_4","ambient_mowing","Bro_ere_ambient_mowing",1,1
"70","1_1",4,"Bro_ere","ambient","mowing",4.5,4,1,1,NA,0,0,0,1,1,1,0,2018,"1_1_4","ambient_mowing","Bro_ere_ambient_mowing",1,1
"71","1_1",4,"Bro_ere","ambient","mowing",4,1,2,2,NA,0,0,0,1,1,2,0,2018,"1_1_4","ambient_mowing","Bro_ere_ambient_mowing",1,1
"72","1_1",4,"Bro_ere","ambient","mowing",2,9,0,0,NA,0,0,0,1,1,0,0,2018,"1_1_4","ambient_mowing","Bro_ere_ambient_mowing",1,0
"73","1_1",4,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_4","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"74","1_1",4,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_4","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"82","1_1",5,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_5","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"83","1_1",5,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_5","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"84","1_1",5,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_5","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"85","1_1",5,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_5","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"86","1_1",5,"Bro_ere","ambient","mowing",NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2018,"1_1_5","ambient_mowing","Bro_ere_ambient_mowing",NA,0
"93","1_1",6,"Bro_ere","ambient","mowing",6,9,6,6,NA,0,0,1,1,1,6,0,2018,"1_1_6","ambient_mowing","Bro_ere_ambient_mowing",1,1
"94","1_1",6,"Bro_ere","ambient","mowing",NA,1,NA,NA,NA,0,0,1,1,0,0,1,2018,"1_1_6","ambient_mowing","Bro_ere_ambient_mowing",NA,0
